,Unnamed: 0,title,title_link,content
0,0,"Climate Change - The FactsDavid Attenborough explores the science of, and potential solutions to, climate change.",https://www.bbc.co.uk/programmes/m00049b1,"
After one of the hottest years on record, Sir David Attenborough looks at the science of climate change and potential solutions to this global threat.

Show more

"
1,1,The People v Climate ChangeMeet the ordinary Brits who will help decide how Britain solves the climate crisis.,https://www.bbc.co.uk/programmes/p097sbzc,"
Meet the 108 ordinary Brits who Sir David Attenborough says we should listen to. This warm and honest documentary reveals how everyday people feel about the climate crisis.

Show more

"
2,2,The Climate Connection ArchiveExploring a key question in the story of action on climate change: what's stopping us?,https://www.bbc.co.uk/programmes/p0053hjw,"
The Climate Connection explores a key question in the story of action on climate change: what's stopping us? Produced in association with The Open University.

Show more

"
3,3,In Denial - Climate on the CouchJolyon Jenkins investigates the psychology of climate change - why aren't we more worried?,https://www.bbc.co.uk/programmes/b00y92mn,"
If climate change is as serious as the scientists say, why are most of us not that bothered? Jolyon Jenkins asks if greens could use better psychology to sharpen their message.

Show more

"
4,4,"Changing ClimateRoger Harrabin examines the science, politics and solutions of climate.",https://www.bbc.co.uk/programmes/b06qspbf,"
Roger Harrabin examines the science, politics and solutions of climate.
"
5,5,BBC Climate WatchA bite-sized update on how the worldâs climate is changing and what is being done about it,https://www.bbc.co.uk/programmes/w13xtvp3,"
A bite-sized update on how the world’s climate is changing and what is being done about it.
"
6,6,Tackling Climate ChangeJustin Rowlatt puts global climate questions to UN secretary-general Antonio Guterres.,https://www.bbc.co.uk/programmes/m001f6bd,"
Justin Rowlatt puts your global climate questions to UN secretary-general Antonio Guterres.
"
7,7,Tackling Climate ChangeJustin Rowlatt puts your Global climate questions to UN Secretary-General Antonio Guterres,https://www.bbc.co.uk/programmes/l00567ch,Justin Rowlatt puts your Global climate questions to UN Secretary-General Antonio Guterres
8,8,The Empire of ClimateProfessor David Livingstone argues for a revision of how we view the climate,https://www.bbc.co.uk/programmes/b00wfhgg,"
Professor David Livingstone argues that climate is much more than the weather outside our window
"
9,9,Uncertain ClimateRoger Harrabin investigates whether the arguments over climate change can ever be won,https://www.bbc.co.uk/programmes/b00tmjb8,"
BBC Environmental Analyst Roger Harrabin investigates whether the arguments surrounding climate change can ever be won
"
10,10,Climate Change and MeFive scientists describe how their eyes were opened to global climate change.,https://www.bbc.co.uk/programmes/b0b4kf6l,"
Five eminent scientists describe the dramatic changes to the natural world that they have witnessed on the ground and tell how their eyes were opened to global climate change.
"
11,11,Can Sport Survive Climate Change?We speak to the athletes whose sports are being impacted by climate change.,https://www.bbc.co.uk/programmes/p0cqfyl3,"
As the Commonwealth Games 2022 kicks off, BBC Three speaks speak to the athletes whose sports are being impacted by climate change.

Show more

"
12,12,BBC Climate Watch: BBC Climate Watch ThuA bite-sized update on how the world?s climate is changing and what is being done about it,https://www.bbc.co.uk/programmes/p0fd0d54,"
A bite-sized update on how the world?s climate is changing and what is being done about it
"
13,13,"House of Lords: Climate Change and Developing CountriesBusiness in the Lords including the debate on climate change, from Thursday 30 March.",https://www.bbc.co.uk/programmes/m001l4p5,"
Business in the House of Lords including the debate on climate change and developing countries, with a focus on the Commonwealth, from Thursday 30 March.
"
14,14,Bitesize GCSE Biology: Series 6: Ecology: 7. Climate changeHow climate change affects organisms and ecosystems.,https://www.bbc.co.uk/programmes/p0fcvp14,"
Dr Alex Lathbridge breaks down the key facts about climate change, what the greenhouse effect is and how climate change affects ecosystems.

Show more

"
15,15,Global News Podcast: World's top court to weigh in on climate changeLow-lying Vanuatu pushed for legal opinion that could be cited in climate court cases,https://www.bbc.co.uk/programmes/p0fcs8n4,"
Low-lying Vanuatu has pushed for a legal opinion that could be cited in climate court cases. Also: Pope Francis has been taken to hospital with a respiratory infection, and Shaun the Sheep gets a hero's welcome following his trip around the moon.
"
16,16,"The Climate QuestionWhy we find it so hard to save our own planet, and how we might change that",https://www.bbc.co.uk/programmes/w13xtvb6,"
Why we find it so hard to save our own planet, and how we might change that.

Show more

"
17,17,Climate Change: The Trump CardCan the world control global warming? Roger Harrabin investigates.,https://www.bbc.co.uk/programmes/b086s95f,"
Documentary. A year on from the historic Paris climate change talks, Roger Harrabin asks if the world can really limit the global temperature rise to under 2 degrees C.

Show more

"
18,18,Climate change: World's top court to weigh inLow-lying Vanuatu pushed for a legal opinion that could be cited in climate court cases.,https://www.bbc.co.uk/news/science-environment-65097831,"The world's top court will for the first time advise on countries' legal obligations to fight climate change, following a UN resolution on Wednesday."
19,19,Lowestoft murals to inspire climate change actionThe designs on the ends of houses were created with local residents who responded to a public call out.,https://www.bbc.co.uk/news/uk-england-suffolk-65124945,"Two large murals about climate change action are being painted in Lowestoft, Suffolk."
20,20,Ankur Desai: Climate anxietyAnkur looks at how climate change is causing climate anxiety.,https://www.bbc.co.uk/programmes/m001k5rp,"
Ankur Desai talks about how far behind the UK is on climate change, and after the death of Paul O'Grady, Ankur chats to Mahatma Candi about the impact Lily Savage had on Asian Drag.

Show more

"
21,21,The Climate Tipping PointsJustin Rowlatt discovers how global warming may trigger irreversible changes to our planet,https://www.bbc.co.uk/programmes/m00180cc,"
Justin Rowlatt discovers how global warming may trigger irreversible changes to our planet.
"
22,22,Reporting from the Climate FrontlinesBBC's Science Editor David Shukman has been a witness on the frontlines of global warming.,https://www.bbc.co.uk/programmes/m0011tnv,"
As the world reels from fires, floods and heatwaves, researchers are more certain than ever that human activity is making them worse.

Show more

"
23,23,The Great Game in a Cold Climate: A Tale of Two CitiesAdam Fowler visits Northern Canada to discover some potential benefits of global warming.,https://www.bbc.co.uk/programmes/b008khxl,"
A Tale of Two Cities: Adam Fowler visits the town of Churchill in Northern Canada to discover the potential benefits of global warming for this tiny community on the Hudson Bay.
"
24,24,Swiss court case ties human rights to climate changeThousands of women say the country's climate change policy damages their right to life and health.,https://www.bbc.co.uk/news/world-europe-65107800,"More than 2,000 women are taking the Swiss government to court claiming its policy on climate change is violating their right to life and health. "
25,25,"Climate change: England not ready for impactThe government's advisers urge a ""step change"" in climate adaptation policy to avoid an increased risk to life.",https://www.bbc.co.uk/news/science-environment-65099546,"England is not ready for the unavoidable impacts of global warming, the government's advisers on climate change say in a new report."
26,26,Just Stop Oil QEII Bridge activist 'was delivering climate warning'Morgan Trowland is giving evidence at Basildon Crown Court over the protest at the QEII Bridge.,https://www.bbc.co.uk/news/uk-england-essex-65127506,"A Just Stop Oil protester has told jurors he climbed the Dartford Crossing bridge to deliver a ""warning message""."
27,27,Carbon capture: What is it and how does it fight climate change?The government has announced the location of the UK's first carbon capture sites.,https://www.bbc.co.uk/news/science-environment-64723497,The UK government has announced that the first sites in the UK to capture greenhouse gases will be in Teesside. 
28,28,Climate change: Is the UK on track to meet its targets?The government has announced its revised net zero strategy.,https://www.bbc.co.uk/news/58160547,The UK has pledged to reduce its greenhouse-gas emissions to net zero by 2050. Net zero means a country takes as much of these climate-changing gases - such as carbon dioxide - out of the atmosphere as it puts in.
29,29,"Climate change threatening 'high-performance sport's existence' says UK Sport chiefClimate change is threatening ""high-performance sport's existence"", says UK Sport chief executive Sally Munday.",https://www.bbc.co.uk/sport/olympics/65099356,"Climate change is threatening high-performance sport's existence, says UK Sport chief executive Sally Munday.The government agency has a new sustainability strategy, called Team of Tomorrow.The aim is to get British Olympic and Paralympic sport to have a net positive impact on the environment by 2040.Every governing body has been told to have a sustainability action plan in place by 2025.The Premier League's domestic flights dilemma"
30,30,"Paris Agreement on climate change adopted by Isle of ManThe extension of the treaty on climate change is ""hugely significant"", the chief minister says.",https://www.bbc.co.uk/news/world-europe-isle-of-man-65092187,"The extension of an international climate treaty to the Isle of Man is a ""hugely significant milestone"", the chief minister has said."
31,31,Climate change: Derry council praised in UK-wide reportThe report spotlights Derry and Strabane's outreach work in dealing with climate hazards like flooding.,https://www.bbc.co.uk/news/uk-northern-ireland-65091655,The community outreach work of Derry City and Strabane District Council has been praised in a report on climate action across the UK. 
32,32,Global News Podcast: Does failure to address climate change violate human rights?The European Court of Human Rights hears a case brought against the Swiss Government,https://www.bbc.co.uk/programmes/p0fcn884,"
The European Court of Human Rights hears a case brought against the Swiss Government over lack of action on climate change. Also, hundreds of people ask for a pause in the development of Artificial Intelligence, and young British men told to stay away from Amsterdam.
"
33,33,Newshour: Swiss women say climate change is violating their human rightsEuropean Court of Human Rights is hearing such a case for the first time,https://www.bbc.co.uk/programmes/w172z09b4pklzp0,"
European Court of Human Rights is hearing such a case for the first time.

Show more

"
34,34,"Climate change: UK risks losing investment in net-zero race, MPs warnSome Tories are among those who fear jobs could move elsewhere if the government is not ambitious enough.",https://www.bbc.co.uk/news/uk-politics-65110764,"The UK is at risk of losing jobs and investment in the ""net-zero race"", senior cross-party MPs have warned."
35,35,Football & climate: Which EFL clubs are the most sustainable?Which EFL clubs are doing the most work to become more sustainable? BBC Sport explores.,https://www.bbc.co.uk/sport/football/65085346,"Ten years ago we were a lone voice with a radical idea, today it's fast becoming normal.League One Forest Green Rovers - labelled the 'greenest' football club in the world - were always likely to come top of a list of the English Football League's most sustainable clubs.But owner and chairman Dale Vince says a new table ranking the top 20 EFL clubs on their climate-friendly activities off the pitch shows real progress among the rest of the English football pyramid.Vince said: It's great to see the extent to which sustainability in football has become a thing, almost but not yet - an accepted part of the game"
36,36,Just Stop Oil: Climate change pair on trial over bridge protestTwo men deny causing a public nuisance after protesters scaled the Dartford Crossing bridge in 2022.,https://www.bbc.co.uk/news/uk-england-essex-65102021,"Two protesters caused ""gridlock for miles around"" after they scaled the Dartford Crossing bridge and police closed it to traffic, a trial heard."
37,37,Climate change: trees grow for extra month as planet warms - studyScientists compared recent tree growth with detailed notes from a 19th Century Ohio farmer,https://www.bbc.co.uk/news/science-environment-65037659,"Global warming is changing the way trees grow, new research suggests."
38,38,Climategate RevisitedChris Vallance explores the long-term results of the hacking of climate scientists' emails,https://www.bbc.co.uk/programmes/b01nl8gm,"
Chris Vallance explores the long-term results of the hacking of climate scientists' emails on public opinion, media reporting and international climate change policy.

Show more

"
39,39,Global Climate DebateThe BBC hosts a high-level global climate debate.,https://www.bbc.co.uk/programmes/m0011j38,"
Four leading political figures come together to take questions from young people in the studio and around the world on the challenges presented by climate change.

Show more

"
